URL,Version,Status,OIDs,Name,Title,Description,Used
http://cancerscreeningcds.github.io/crcsm-cds/CodeSystem/plan-definition-action-code-system,0.1.0,draft,,PlanDefinitionActionCodeSystem,Plan Definition Action Code System,"Code representing plan definition action codes","ValueSet/plan-definition-action-codes"
http://cancerscreeningcds.github.io/crcsm-cds/CodeSystem/plan-definition-action-reason-code-system,0.1.0,draft,,PlanDefinitionActionReasonCodeSystem,Plan Definition Action Reason Code System,"Code representing plan definition action reason codes","ValueSet/plan-definition-action-reason-codes"
http://cancerscreeningcds.github.io/crcsm-cds/CodeSystem/recommendation-flag-code-system,0.1.0,draft,,RecommendationFlagCodeSystem,Recommendation Flag Code System,"Code representing due/overdue flags","ValueSet/recommendation-flag-codes"
